name,online_order,book_table,rate,votes,location,rest_type,cuisines,cost_for_two,type
Rasa Cafe,Yes,No,3.4,6,Kalyan Nagar,Cafe,others,600.0,Cafes
Millers 46,No,Yes,4.4,2266,Vasanth Nagar,Casual Dining,others,1100.0,Dine-out
Rage Chocolatier,No,No,3.4,0,Residency Road,others,Desserts,400.0,Desserts
ReadyBowl,Yes,No,3.7,69,BTM,Delivery,others,400.0,Delivery
Euki,Yes,Yes,4.1,553,Jayanagar,Casual Dining,others,900.0,Delivery
Nawab's Kolkatta Roll,No,No,3.4,5,Brigade Road,others,others,150.0,Delivery
Nawabi Zaica,Yes,No,3.5,21,Marathahalli,Casual Dining,"North Indian, Mughlai, Chinese",600.0,Delivery
Munchies,Yes,No,3.9,65,Brigade Road,others,others,250.0,Desserts
Bunt's Biriyani Palace,Yes,No,3.0,213,Banashankari,Quick Bites,others,400.0,Delivery
Hot Rolls & House Of Kebabs,Yes,No,3.1,55,JP Nagar,Quick Bites,others,200.0,Dine-out
Meat And Eat,Yes,No,3.4,28,Whitefield,Quick Bites,"Fast Food, Burger",500.0,Delivery
Ambur Biryani Center,No,No,3.5,0,Whitefield,Quick Bites,"Biryani, Kebab",300.0,Dine-out
Desi Cream Junction,Yes,Yes,3.7,36,Jayanagar,Casual Dining,others,650.0,Delivery
Thalassery Restaurant,Yes,No,3.6,710,Bellandur,Casual Dining,others,600.0,Delivery
Tanoor Tandoori,Yes,No,3.5,0,Bellandur,Delivery,others,550.0,Delivery
Tiffanys,No,No,2.9,31,Shanti Nagar,Casual Dining,others,1000.0,Dine-out
Allahabadi Tadaka,No,No,2.9,46,Domlur,Casual Dining,North Indian,250.0,Dine-out
Shanghai Court,Yes,No,4.2,421,Bannerghatta Road,Casual Dining,"Chinese, Thai",700.0,Dine-out
Sagar Chats,No,No,3.8,38,Commercial Street,Quick Bites,others,300.0,Dine-out
La Casa Brewery And Kitchen,Yes,Yes,4.4,1401,Sarjapur Road,others,others,1500.0,Delivery
The Hole in the Wall Cafe,No,No,4.6,7127,Koramangala 4th Block,Cafe,others,600.0,Cafes
Mid Night Hunting,Yes,No,3.7,127,Ejipura,"Takeaway, Delivery",others,300.0,Delivery
Atithi Family Bar & Restaurant,Yes,No,3.6,31,Bellandur,"Casual Dining, Bar",others,500.0,Pubs and bars
The Mad Teapot,No,Yes,4.1,289,Indiranagar,Cafe,Cafe,850.0,Dine-out
Tummy Wants Yummy,No,No,3.6,0,Marathahalli,Quick Bites,North Indian,150.0,Delivery
The Waffles Hut,Yes,No,3.8,24,Koramangala 5th Block,Dessert Parlor,"Desserts, Beverages",400.0,Desserts
BISO - Citrus Hotels,No,Yes,3.9,158,Cunningham Road,Casual Dining,others,1100.0,Buffet
Gowdru Mane,No,No,3.3,0,Brookefield,Quick Bites,South Indian,250.0,Dine-out
Gobble Up Churros Cafe,Yes,No,3.8,37,Ulsoor,Casual Dining,others,400.0,Dine-out
L'inoui,Yes,No,4.1,33,Cunningham Road,Dessert Parlor,Desserts,400.0,Desserts
Kanteen 038,Yes,No,3.9,54,Indiranagar,Quick Bites,others,200.0,Delivery
Andhra Biryanis,Yes,No,4.0,112,Whitefield,Casual Dining,others,700.0,Delivery
Shyvan Restaurant,Yes,No,3.6,81,Shanti Nagar,Casual Dining,"North Indian, Chinese",500.0,Delivery
Garma Garam,Yes,No,3.2,144,Bannerghatta Road,Quick Bites,others,350.0,Dine-out
Domino's Pizza,Yes,No,3.2,284,Electronic City,Quick Bites,"Pizza, Fast Food",400.0,Dine-out
The Beer Cafe,Yes,Yes,4.2,1181,Koramangala 4th Block,others,others,1300.0,Pubs and bars
Essential Kitchen,No,No,3.3,4,Wilson Garden,Quick Bites,others,500.0,Dine-out
Happy Chopsticks,Yes,No,3.6,17,Basavanagudi,Quick Bites,others,300.0,Delivery
Asaivam Restaurant,Yes,No,4.0,71,Indiranagar,Casual Dining,others,750.0,Delivery
Chung's Chinese Corner,Yes,No,3.4,207,Cunningham Road,Casual Dining,others,600.0,Delivery
Mockaholic Restro Beer Cafe,Yes,No,3.9,922,JP Nagar,others,others,1000.0,Dine-out
Pizza Stop,Yes,No,3.8,151,Banaswadi,Quick Bites,others,500.0,Delivery
Sri Lakshmi Vaibhav,Yes,No,4.0,159,Whitefield,Casual Dining,"South Indian, North Indian, Chinese",500.0,Delivery
Let's Bounce,Yes,No,3.4,0,JP Nagar,Quick Bites,Fast Food,150.0,Drinks & nightlife
Pizza Stop,Yes,No,3.8,164,Basavanagudi,Quick Bites,others,600.0,Delivery
Kya Khaoge,Yes,No,3.8,69,Old Airport Road,Delivery,"North Indian, Chinese",300.0,Delivery
Opus Food Stories,No,Yes,4.5,200,Sarjapur Road,others,others,1800.0,Dine-out
Tiffanys,No,No,2.9,31,Shanti Nagar,Casual Dining,others,1000.0,Buffet
Food & Friends,Yes,No,3.0,89,Rajajinagar,Quick Bites,others,200.0,Delivery
The Lounge - The Chancery Pavilion,No,No,3.7,34,Residency Road,Casual Dining,others,2000.0,Dine-out
Smally's Resto Cafe,Yes,No,4.1,424,Indiranagar,Cafe,others,650.0,Delivery
Eat up's Cloud Kitchen,No,No,3.5,0,Koramangala 1st Block,Delivery,others,200.0,Delivery
Meghana Foods Grand,Yes,No,4.2,3367,Marathahalli,Casual Dining,others,600.0,Delivery
Marenahalli Donne Biriyani,Yes,No,3.9,261,JP Nagar,Quick Bites,"Biryani, Fast Food",300.0,Delivery
Opus Food Stories,No,Yes,4.7,163,Sarjapur Road,others,others,1500.0,Dine-out
King Burger Cafeteria,No,No,3.1,11,Indiranagar,Quick Bites,others,250.0,Dine-out
Swathi Restaurant,Yes,No,3.9,14,JP Nagar,"Takeaway, Delivery",others,400.0,Delivery
Sri Punjabi Dhaba,Yes,No,3.3,50,BTM,others,North Indian,400.0,Dine-out
Jenisha Green View Restaurant,Yes,No,3.9,0,Ejipura,Quick Bites,"North Indian, Fast Food",500.0,Delivery
Bundar,No,No,4.1,2450,Koramangala 6th Block,Cafe,others,700.0,Delivery
Wats Ur Scoop?,Yes,No,4.0,56,Indiranagar,Dessert Parlor,"Desserts, Ice Cream",300.0,Desserts
China Down Town,Yes,No,3.5,5,Koramangala 4th Block,Casual Dining,Chinese,800.0,Delivery
Martino's,No,No,3.6,30,Koramangala 1st Block,Quick Bites,"Italian, Pizza",350.0,Dine-out
Bean Flickers,Yes,No,4.3,398,Indiranagar,Cafe,others,700.0,Dine-out
Biryani Palace,Yes,No,3.6,37,Nagawara,Casual Dining,"Biryani, North Indian, Chinese",750.0,Delivery
Nagarjuna,No,No,4.3,2308,Koramangala 5th Block,Casual Dining,others,800.0,Dine-out
Delhi Home Food,No,No,3.3,5,Koramangala 1st Block,Quick Bites,"North Indian, South Indian",200.0,Dine-out
Sidewalk Cafe - Nahar's Heritage Hotel,No,No,3.9,134,St. Marks Road,Casual Dining,others,800.0,Dine-out
99 Pancakes,Yes,No,4.5,346,Koramangala 5th Block,others,others,300.0,Cafes
Raidan Restaurant,No,No,4.0,169,Frazer Town,Casual Dining,others,600.0,Delivery
Mayo N Burger,Yes,No,3.2,4,Indiranagar,Quick Bites,others,250.0,Delivery
The Biriyani Factory,Yes,No,3.1,30,BTM,Quick Bites,"North Indian, Biryani",500.0,Delivery
Natural Ice Cream,No,No,4.5,940,Koramangala 1st Block,Dessert Parlor,others,200.0,Delivery
Kanti Sweets,Yes,No,3.9,63,Malleshwaram,others,"Mithai, Street Food",400.0,Desserts
Cafe Arabica,No,No,4.1,147,Frazer Town,others,"Cafe, Bakery",700.0,Desserts
